"theoretical_mz","theoretical_percent_intensity","distribution_name"
NA,0,"Br4Cl1"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
535.66,11.78,"Br4Cl2"
536.66,1.79,"Br4Cl2"
537.66,54.69,"Br4Cl2"
538.66,6.59,"Br4Cl2"
539.65,100,"Br4Cl2"
540.66,12.11,"Br4Cl2"
541.65,94.52,"Br4Cl2"
542.65,10.71,"Br4Cl2"
543.65,46.24,"Br4Cl2"
544.65,5.62,"Br4Cl2"
545.65,11.28,"Br4Cl2"
546.65,1.61,"Br4Cl2"
547.64,1.15,"Br4Cl2"
548.65,0.07,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl2"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
569.62,9.69,"Br4Cl3"
570.62,1.27,"Br4Cl3"
571.62,48.48,"Br4Cl3"
572.62,6.18,"Br4Cl3"
573.61,95.83,"Br4Cl3"
574.62,12.58,"Br4Cl3"
575.61,100,"Br4Cl3"
576.62,13.93,"Br4Cl3"
577.61,61.25,"Br4Cl3"
578.61,7.8,"Br4Cl3"
579.61,21.11,"Br4Cl3"
580.61,3.05,"Br4Cl3"
581.61,3.82,"Br4Cl3"
582.61,0.54,"Br4Cl3"
583.6,0.39,"Br4Cl3"
584.61,0.04,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl3"
NA,0,"Br4Cl4"
NA,0,"Br4Cl4"
NA,0,"Br4Cl4"
NA,0,"Br4Cl4"
603.58,6.76,"Br4Cl4"
604.58,1.28,"Br4Cl4"
605.58,37.15,"Br4Cl4"
606.58,5.72,"Br4Cl4"
607.58,83.53,"Br4Cl4"
608.58,10.94,"Br4Cl4"
609.57,100,"Br4Cl4"
610.58,13.18,"Br4Cl4"
611.57,71.43,"Br4Cl4"
612.57,8.81,"Br4Cl4"
613.57,32.86,"Br4Cl4"
614.57,3.59,"Br4Cl4"
615.57,8.47,"Br4Cl4"
616.57,1.04,"Br4Cl4"
617.56,1.51,"Br4Cl4"
618.57,0.15,"Br4Cl4"
619.56,0.08,"Br4Cl4"
620.56,0.04,"Br4Cl4"
NA,0,"Br4Cl4"
NA,0,"Br4Cl4"
NA,0,"Br4Cl5"
NA,0,"Br4Cl5"
NA,0,"Br4Cl5"
